date,hour,demand
27-08-2018,12,56
27-08-2018,13,63
27-08-2018,14,101
27-08-2018,15,27
27-08-2018,16,102
27-08-2018,17,23
27-08-2018,18,32
27-08-2018,19,86
27-08-2018,20,40
27-08-2018,21,7
27-08-2018,23,35
28-08-2018,8,19
28-08-2018,9,23
28-08-2018,10,83
28-08-2018,11,63
28-08-2018,12,36
28-08-2018,13,114
28-08-2018,14,69
28-08-2018,15,125
28-08-2018,16,111
28-08-2018,17,113
28-08-2018,18,13
28-08-2018,19,69
28-08-2018,20,12
28-08-2018,21,21
28-08-2018,22,87
28-08-2018,23,70
29-08-2018,0,34
29-08-2018,2,78
29-08-2018,3,42
29-08-2018,9,76
29-08-2018,10,69
29-08-2018,11,36
29-08-2018,12,43
29-08-2018,13,46
29-08-2018,14,128
29-08-2018,15,102
29-08-2018,16,49
29-08-2018,17,60
29-08-2018,18,48
29-08-2018,19,85
29-08-2018,20,60
29-08-2018,21,39
29-08-2018,22,15
29-08-2018,23,30
30-08-2018,2,95
30-08-2018,7,11
30-08-2018,8,13
30-08-2018,9,97
30-08-2018,10,49
30-08-2018,11,82
30-08-2018,12,73
30-08-2018,13,109
30-08-2018,14,43
30-08-2018,15,53
30-08-2018,16,47
30-08-2018,17,80
30-08-2018,18,62
30-08-2018,19,101
30-08-2018,20,14
30-08-2018,23,92
31-08-2018,1,45
31-08-2018,8,42
31-08-2018,9,67
31-08-2018,10,10
31-08-2018,11,38
31-08-2018,12,14
31-08-2018,13,10
31-08-2018,14,57
31-08-2018,15,99
31-08-2018,16,25
31-08-2018,17,68
31-08-2018,18,9
31-08-2018,19,44
31-08-2018,23,22
01-09-2018,8,89
01-09-2018,9,49
01-09-2018,10,20
01-09-2018,11,73
01-09-2018,12,37
01-09-2018,13,21
01-09-2018,14,30
01-09-2018,15,88
01-09-2018,16,56
01-09-2018,17,45
01-09-2018,18,72
01-09-2018,19,44
01-09-2018,20,83
01-09-2018,21,11
01-09-2018,22,66
02-09-2018,0,94
02-09-2018,2,59
02-09-2018,10,94
02-09-2018,11,100
02-09-2018,12,29
02-09-2018,13,37
02-09-2018,14,26
02-09-2018,15,17
02-09-2018,16,40
02-09-2018,17,97
02-09-2018,18,68
02-09-2018,20,27
02-09-2018,21,43
03-09-2018,7,73
03-09-2018,8,60
03-09-2018,9,85
03-09-2018,10,40
03-09-2018,12,98
03-09-2018,13,34
03-09-2018,15,14
03-09-2018,16,92
03-09-2018,17,40
03-09-2018,18,35
04-09-2018,8,45
04-09-2018,10,61
04-09-2018,11,16
04-09-2018,12,92
04-09-2018,13,53
04-09-2018,15,105
04-09-2018,16,96
04-09-2018,17,43
04-09-2018,18,98
04-09-2018,19,9
04-09-2018,20,73
04-09-2018,22,57
04-09-2018,23,63
05-09-2018,0,21
05-09-2018,8,60
05-09-2018,9,56
05-09-2018,11,66
05-09-2018,13,6
05-09-2018,15,104
05-09-2018,16,55
05-09-2018,17,90
05-09-2018,18,11
05-09-2018,19,27
05-09-2018,23,55
06-09-2018,8,54
06-09-2018,9,40
06-09-2018,10,57
06-09-2018,11,46
06-09-2018,12,72
06-09-2018,13,19
06-09-2018,14,70
06-09-2018,15,51
06-09-2018,16,13
06-09-2018,17,61
06-09-2018,18,103
06-09-2018,19,13
06-09-2018,21,19
06-09-2018,22,96
06-09-2018,23,5
07-09-2018,6,56
07-09-2018,7,47
07-09-2018,8,61
07-09-2018,9,12
07-09-2018,10,19
07-09-2018,11,68
07-09-2018,12,81
07-09-2018,13,54
07-09-2018,14,33
07-09-2018,15,87
07-09-2018,16,37
07-09-2018,17,11
07-09-2018,18,87
07-09-2018,19,70
07-09-2018,21,34
07-09-2018,22,24
07-09-2018,23,30
08-09-2018,0,86
08-09-2018,2,37
08-09-2018,3,25
08-09-2018,8,31
08-09-2018,9,13
08-09-2018,10,107
08-09-2018,11,103
08-09-2018,12,38
08-09-2018,13,47
08-09-2018,14,102
08-09-2018,15,95
08-09-2018,16,107
08-09-2018,17,44
08-09-2018,18,31
08-09-2018,19,35
08-09-2018,20,83
08-09-2018,21,64
08-09-2018,22,78
08-09-2018,23,18
09-09-2018,1,56
09-09-2018,8,65
09-09-2018,9,62
09-09-2018,10,46
09-09-2018,11,112
09-09-2018,12,87
09-09-2018,13,19
09-09-2018,14,65
09-09-2018,15,40
09-09-2018,16,91
09-09-2018,17,93
09-09-2018,18,20
09-09-2018,20,27
09-09-2018,21,63
09-09-2018,23,79
10-09-2018,0,18
10-09-2018,1,83
10-09-2018,5,61
10-09-2018,7,19
10-09-2018,8,47
10-09-2018,9,56
10-09-2018,10,26
10-09-2018,11,64
10-09-2018,12,63
10-09-2018,13,62
10-09-2018,14,73
10-09-2018,15,96
10-09-2018,16,49
10-09-2018,17,66
10-09-2018,18,90
10-09-2018,19,11
10-09-2018,21,94
11-09-2018,6,61
11-09-2018,7,98
11-09-2018,8,29
11-09-2018,9,65
11-09-2018,10,59
11-09-2018,11,70
11-09-2018,12,79
11-09-2018,13,33
11-09-2018,14,45
11-09-2018,15,38
11-09-2018,16,74
11-09-2018,17,104
11-09-2018,18,53
11-09-2018,19,61
11-09-2018,20,38
11-09-2018,21,93
12-09-2018,6,54
12-09-2018,7,48
12-09-2018,8,59
12-09-2018,9,33
12-09-2018,10,66
12-09-2018,11,12
12-09-2018,12,64
12-09-2018,13,12
12-09-2018,14,68
12-09-2018,15,79
12-09-2018,16,63
12-09-2018,17,87
12-09-2018,18,77
12-09-2018,19,51
12-09-2018,20,4
12-09-2018,22,99
13-09-2018,5,3
13-09-2018,6,34
13-09-2018,7,71
13-09-2018,8,70
13-09-2018,9,16
13-09-2018,10,71
13-09-2018,11,87
13-09-2018,12,108
13-09-2018,13,20
13-09-2018,14,12
13-09-2018,15,91
13-09-2018,16,39
13-09-2018,17,33
13-09-2018,18,54
13-09-2018,19,72
13-09-2018,20,22
13-09-2018,23,85
14-09-2018,6,94
14-09-2018,7,53
14-09-2018,8,35
14-09-2018,9,60
14-09-2018,10,69
14-09-2018,11,89
14-09-2018,12,65
14-09-2018,13,66
14-09-2018,14,53
14-09-2018,15,88
14-09-2018,16,73
14-09-2018,17,24
14-09-2018,18,91
14-09-2018,19,104
14-09-2018,20,100
14-09-2018,21,35
14-09-2018,22,8
14-09-2018,23,66
15-09-2018,3,101
15-09-2018,9,98
15-09-2018,10,82
15-09-2018,11,61
15-09-2018,12,34
15-09-2018,13,58
15-09-2018,14,98
15-09-2018,15,57
15-09-2018,16,81
15-09-2018,17,40
15-09-2018,18,53
15-09-2018,19,70
15-09-2018,21,83
15-09-2018,22,23
16-09-2018,1,53
16-09-2018,2,32
16-09-2018,7,24
16-09-2018,8,52
16-09-2018,9,14
16-09-2018,10,33
16-09-2018,11,19
16-09-2018,12,111
16-09-2018,13,32
16-09-2018,14,26
16-09-2018,15,34
16-09-2018,16,103
16-09-2018,17,116
16-09-2018,18,25
16-09-2018,19,21
16-09-2018,21,97
17-09-2018,6,68
17-09-2018,7,42
17-09-2018,8,20
17-09-2018,9,86
17-09-2018,10,41
17-09-2018,11,72
17-09-2018,12,27
17-09-2018,13,43
17-09-2018,14,109
17-09-2018,15,70
17-09-2018,16,97
17-09-2018,17,42
17-09-2018,18,19
17-09-2018,19,94
17-09-2018,20,53
17-09-2018,21,77
17-09-2018,22,20
17-09-2018,23,11
18-09-2018,7,78
18-09-2018,8,92
18-09-2018,9,68
18-09-2018,10,89
18-09-2018,11,77
18-09-2018,12,52
18-09-2018,13,41
18-09-2018,14,69
18-09-2018,15,23
18-09-2018,16,72
18-09-2018,17,27
18-09-2018,18,37
18-09-2018,19,12
18-09-2018,20,58
18-09-2018,21,71
18-09-2018,22,20
19-09-2018,6,24
19-09-2018,8,18
19-09-2018,9,47
19-09-2018,10,30
19-09-2018,11,36
19-09-2018,12,54
19-09-2018,13,24
19-09-2018,14,65
19-09-2018,15,9
19-09-2018,16,79
19-09-2018,17,90
19-09-2018,18,46
19-09-2018,19,53
19-09-2018,20,64
19-09-2018,22,18
19-09-2018,23,99
20-09-2018,6,5
20-09-2018,7,84
20-09-2018,8,27
20-09-2018,9,94
20-09-2018,10,81
20-09-2018,11,43
20-09-2018,12,76
20-09-2018,13,79
20-09-2018,14,86
20-09-2018,15,30
20-09-2018,16,89
20-09-2018,18,91
20-09-2018,21,65
21-09-2018,9,64
21-09-2018,10,100
21-09-2018,11,54
21-09-2018,12,95
21-09-2018,13,6
21-09-2018,14,89
21-09-2018,15,45
21-09-2018,16,18
21-09-2018,17,26
21-09-2018,19,90
21-09-2018,20,77
21-09-2018,21,1
21-09-2018,23,55
22-09-2018,9,84
22-09-2018,10,34
22-09-2018,11,58
22-09-2018,12,45
22-09-2018,13,32
22-09-2018,14,45
22-09-2018,15,77
22-09-2018,16,130
22-09-2018,17,65
22-09-2018,18,29
22-09-2018,19,41
22-09-2018,20,89
22-09-2018,21,85
22-09-2018,22,77
22-09-2018,23,41
23-09-2018,2,21
23-09-2018,3,33
23-09-2018,4,26
23-09-2018,7,69
23-09-2018,8,64
23-09-2018,9,61
23-09-2018,10,114
23-09-2018,11,92
23-09-2018,12,98
23-09-2018,13,20
23-09-2018,14,62
23-09-2018,15,92
23-09-2018,16,35
23-09-2018,17,26
23-09-2018,18,109
23-09-2018,19,41
23-09-2018,20,19
24-09-2018,6,61
24-09-2018,7,23
24-09-2018,8,93
24-09-2018,9,18
24-09-2018,10,81
24-09-2018,11,73
24-09-2018,12,43
24-09-2018,13,82
24-09-2018,14,45
24-09-2018,15,62
24-09-2018,16,16
24-09-2018,17,19
24-09-2018,18,89
24-09-2018,19,23
24-09-2018,20,87
24-09-2018,21,90
25-09-2018,7,74
25-09-2018,10,25
25-09-2018,15,2
25-09-2018,16,37
25-09-2018,17,8
25-09-2018,18,23
25-09-2018,19,65
25-09-2018,21,66
25-09-2018,22,72
26-09-2018,6,24
26-09-2018,8,46
26-09-2018,9,51
26-09-2018,11,33
26-09-2018,12,10
26-09-2018,13,76
26-09-2018,14,60
26-09-2018,15,61
26-09-2018,16,45
26-09-2018,17,53
26-09-2018,18,82
26-09-2018,19,6
26-09-2018,21,40
27-09-2018,6,22
27-09-2018,7,67
27-09-2018,8,87
27-09-2018,9,82
27-09-2018,11,23
27-09-2018,12,18
27-09-2018,13,62
27-09-2018,14,65
27-09-2018,15,15
27-09-2018,16,73
27-09-2018,17,99
27-09-2018,18,34
27-09-2018,19,59
27-09-2018,20,24
27-09-2018,21,68
27-09-2018,22,60
28-09-2018,0,21
28-09-2018,5,9
28-09-2018,6,41
28-09-2018,7,90
28-09-2018,8,42
28-09-2018,9,21
28-09-2018,10,33
28-09-2018,11,58
28-09-2018,12,86
28-09-2018,13,47
28-09-2018,14,20
28-09-2018,15,67
28-09-2018,16,20
28-09-2018,17,55
28-09-2018,18,75
28-09-2018,19,16
28-09-2018,20,66
28-09-2018,21,86
28-09-2018,22,18
28-09-2018,23,61
29-09-2018,0,67
29-09-2018,2,78
29-09-2018,3,98
29-09-2018,8,31
29-09-2018,9,95
29-09-2018,10,87
29-09-2018,11,109
29-09-2018,12,103
29-09-2018,13,107
29-09-2018,14,106
29-09-2018,15,37
29-09-2018,16,91
29-09-2018,17,52
29-09-2018,18,22
29-09-2018,19,73
29-09-2018,20,63
29-09-2018,21,27
29-09-2018,22,21
29-09-2018,23,88
30-09-2018,1,8
30-09-2018,2,97
30-09-2018,10,67
30-09-2018,12,46
30-09-2018,13,91
30-09-2018,14,22
30-09-2018,21,48
01-10-2018,1,65
01-10-2018,5,15
01-10-2018,6,64
01-10-2018,7,19
01-10-2018,8,44
01-10-2018,9,90
01-10-2018,10,35
01-10-2018,11,57
01-10-2018,12,46
01-10-2018,13,78
01-10-2018,14,56
01-10-2018,15,50
01-10-2018,16,29
01-10-2018,17,47
01-10-2018,18,96
01-10-2018,19,49
01-10-2018,21,71
01-10-2018,22,83
02-10-2018,6,17
02-10-2018,7,37
02-10-2018,8,87
02-10-2018,9,15
02-10-2018,10,9
02-10-2018,11,41
02-10-2018,12,49
02-10-2018,13,72
02-10-2018,14,50
02-10-2018,15,57
02-10-2018,16,45
02-10-2018,17,78
02-10-2018,18,21
02-10-2018,19,102
02-10-2018,20,67
02-10-2018,21,103
02-10-2018,22,60
02-10-2018,23,76
03-10-2018,5,99
03-10-2018,8,85
03-10-2018,9,81
03-10-2018,10,74
03-10-2018,11,60
03-10-2018,12,78
03-10-2018,13,53
03-10-2018,14,49
03-10-2018,15,100
03-10-2018,16,13
03-10-2018,17,26
03-10-2018,19,62
03-10-2018,20,77
03-10-2018,21,94
04-10-2018,6,67
04-10-2018,7,79
04-10-2018,9,62
04-10-2018,10,68
04-10-2018,11,13
04-10-2018,12,13
04-10-2018,13,41
04-10-2018,14,68
04-10-2018,15,27
04-10-2018,16,57
04-10-2018,17,21
04-10-2018,18,63
04-10-2018,20,88
04-10-2018,22,93
05-10-2018,0,15
05-10-2018,5,16
05-10-2018,6,32
05-10-2018,8,92
05-10-2018,9,73
05-10-2018,10,75
05-10-2018,11,62
05-10-2018,12,77
05-10-2018,13,87
05-10-2018,14,104
05-10-2018,15,60
05-10-2018,16,34
05-10-2018,17,95
05-10-2018,18,13
05-10-2018,19,4
05-10-2018,20,61
05-10-2018,22,102
05-10-2018,23,18
06-10-2018,8,60
06-10-2018,9,94
06-10-2018,10,52
06-10-2018,11,66
06-10-2018,12,73
06-10-2018,13,118
06-10-2018,14,113
06-10-2018,15,132
06-10-2018,16,100
06-10-2018,17,112
06-10-2018,18,62
06-10-2018,19,82
06-10-2018,20,45
06-10-2018,21,76
06-10-2018,22,81
07-10-2018,0,43
07-10-2018,2,47
07-10-2018,8,67
07-10-2018,10,22
07-10-2018,11,105
07-10-2018,12,74
07-10-2018,13,109
07-10-2018,14,109
07-10-2018,15,127
07-10-2018,16,90
07-10-2018,17,86
07-10-2018,18,84
07-10-2018,19,38
07-10-2018,20,83
07-10-2018,21,16
07-10-2018,23,89
08-10-2018,0,55
08-10-2018,1,61
08-10-2018,4,55
08-10-2018,6,72
08-10-2018,8,6
08-10-2018,9,55
08-10-2018,10,22
08-10-2018,11,68
08-10-2018,12,33
08-10-2018,13,14
08-10-2018,14,22
08-10-2018,15,71
08-10-2018,16,12
08-10-2018,17,19
08-10-2018,18,35
08-10-2018,20,93
08-10-2018,21,72
08-10-2018,22,13
09-10-2018,4,25
09-10-2018,6,2
09-10-2018,8,69
09-10-2018,9,85
09-10-2018,10,90
09-10-2018,11,2
09-10-2018,12,96
09-10-2018,13,37
09-10-2018,14,94
09-10-2018,15,39
09-10-2018,17,23
09-10-2018,18,100
09-10-2018,19,22
09-10-2018,22,56
10-10-2018,3,23
10-10-2018,6,37
10-10-2018,7,78
10-10-2018,8,80
10-10-2018,9,45
10-10-2018,10,51
10-10-2018,11,44
10-10-2018,12,59
10-10-2018,13,17
10-10-2018,14,16
10-10-2018,15,94
10-10-2018,16,105
10-10-2018,17,56
10-10-2018,18,24
10-10-2018,19,21
10-10-2018,20,76
10-10-2018,21,79
10-10-2018,22,74
10-10-2018,23,58
11-10-2018,6,78
11-10-2018,7,18
11-10-2018,8,8
11-10-2018,9,61
11-10-2018,10,57
11-10-2018,11,62
11-10-2018,12,116
11-10-2018,13,109
11-10-2018,14,112
11-10-2018,15,63
11-10-2018,16,37
11-10-2018,17,46
11-10-2018,18,13
11-10-2018,19,22
11-10-2018,20,43
11-10-2018,21,94
11-10-2018,22,16
12-10-2018,1,18
12-10-2018,2,11
12-10-2018,6,24
12-10-2018,7,63
12-10-2018,8,42
12-10-2018,9,25
12-10-2018,10,16
12-10-2018,11,98
12-10-2018,12,109
12-10-2018,13,43
12-10-2018,14,53
12-10-2018,15,71
12-10-2018,16,45
12-10-2018,17,81
12-10-2018,18,24
12-10-2018,19,97
12-10-2018,20,10
12-10-2018,21,97
12-10-2018,22,20
12-10-2018,23,71
13-10-2018,0,52
13-10-2018,1,87
13-10-2018,2,90
13-10-2018,3,34
13-10-2018,7,76
13-10-2018,8,56
13-10-2018,9,87
13-10-2018,10,35
13-10-2018,11,139
13-10-2018,12,116
13-10-2018,13,165
13-10-2018,14,161
13-10-2018,15,116
13-10-2018,16,136
13-10-2018,17,123
13-10-2018,18,59
13-10-2018,19,39
13-10-2018,20,84
13-10-2018,21,62
13-10-2018,22,88
13-10-2018,23,54
14-10-2018,0,71
14-10-2018,1,57
14-10-2018,2,50
14-10-2018,3,98
14-10-2018,4,8
14-10-2018,5,98
14-10-2018,6,46
14-10-2018,7,78
14-10-2018,8,139
14-10-2018,9,94
14-10-2018,10,40
14-10-2018,11,102
14-10-2018,12,44
14-10-2018,13,120
14-10-2018,14,74
14-10-2018,15,103
14-10-2018,16,70
14-10-2018,17,126
14-10-2018,18,107
14-10-2018,19,94
14-10-2018,20,70
14-10-2018,21,104
14-10-2018,22,92
14-10-2018,23,21
15-10-2018,0,84
15-10-2018,6,79
15-10-2018,7,60
15-10-2018,8,63
15-10-2018,9,27
15-10-2018,10,87
15-10-2018,11,123
15-10-2018,12,121
15-10-2018,13,145
15-10-2018,14,133
15-10-2018,15,59
15-10-2018,16,103
15-10-2018,17,97
15-10-2018,18,38
15-10-2018,19,108
15-10-2018,20,105
15-10-2018,21,15
15-10-2018,22,84
15-10-2018,23,21
16-10-2018,0,42
16-10-2018,2,3
16-10-2018,4,14
16-10-2018,6,87
16-10-2018,7,102
16-10-2018,8,15
16-10-2018,9,53
16-10-2018,10,96
16-10-2018,11,43
16-10-2018,12,105
16-10-2018,13,99
16-10-2018,14,32
16-10-2018,15,6
16-10-2018,16,17
16-10-2018,17,37
16-10-2018,18,46
16-10-2018,19,34
16-10-2018,20,54
16-10-2018,21,92
16-10-2018,22,82
17-10-2018,0,81
17-10-2018,4,2
17-10-2018,6,100
17-10-2018,7,78
17-10-2018,8,72
17-10-2018,9,62
17-10-2018,10,55
17-10-2018,11,39
17-10-2018,12,68
17-10-2018,13,83
17-10-2018,14,38
17-10-2018,15,47
17-10-2018,16,107
17-10-2018,17,53
17-10-2018,18,84
17-10-2018,19,91
17-10-2018,20,87
17-10-2018,21,65
17-10-2018,22,34
17-10-2018,23,23
18-10-2018,6,66
18-10-2018,7,77
18-10-2018,8,26
18-10-2018,9,27
18-10-2018,10,103
18-10-2018,11,83
18-10-2018,12,110
18-10-2018,13,27
18-10-2018,14,70
18-10-2018,15,23
18-10-2018,16,67
18-10-2018,17,58
18-10-2018,18,102
18-10-2018,19,101
18-10-2018,20,61
18-10-2018,21,22
18-10-2018,22,89
18-10-2018,23,55
19-10-2018,0,21
19-10-2018,6,86
19-10-2018,7,99
19-10-2018,8,90
19-10-2018,9,33
19-10-2018,10,85
19-10-2018,11,51
19-10-2018,12,114
19-10-2018,13,33
19-10-2018,14,58
19-10-2018,15,123
19-10-2018,16,53
19-10-2018,17,19
19-10-2018,18,87
19-10-2018,19,22
19-10-2018,20,73
19-10-2018,21,54
20-10-2018,0,98
20-10-2018,2,49
20-10-2018,3,35
20-10-2018,4,26
20-10-2018,8,76
20-10-2018,9,67
20-10-2018,10,97
20-10-2018,11,74
20-10-2018,12,43
20-10-2018,13,90
20-10-2018,14,158
20-10-2018,15,128
20-10-2018,16,122
20-10-2018,17,14
20-10-2018,18,32
20-10-2018,19,42
20-10-2018,20,14
20-10-2018,21,59
20-10-2018,22,29
20-10-2018,23,36
21-10-2018,0,74
21-10-2018,6,49
21-10-2018,8,70
21-10-2018,9,73
21-10-2018,10,27
21-10-2018,11,104
21-10-2018,12,101
21-10-2018,13,68
21-10-2018,14,129
21-10-2018,15,71
21-10-2018,16,134
21-10-2018,17,98
21-10-2018,18,75
21-10-2018,19,77
21-10-2018,20,46
21-10-2018,21,70
21-10-2018,22,56
21-10-2018,23,80
22-10-2018,0,12
22-10-2018,6,64
22-10-2018,7,47
22-10-2018,8,38
22-10-2018,9,55
22-10-2018,10,16
22-10-2018,11,29
22-10-2018,12,94
22-10-2018,13,84
22-10-2018,14,28
22-10-2018,15,116
22-10-2018,16,46
22-10-2018,17,55
22-10-2018,18,44
22-10-2018,19,33
22-10-2018,20,14
22-10-2018,21,73
22-10-2018,22,23
22-10-2018,23,50
23-10-2018,0,64
23-10-2018,6,55
23-10-2018,7,92
23-10-2018,8,19
23-10-2018,9,60
23-10-2018,10,29
23-10-2018,11,32
23-10-2018,12,30
23-10-2018,13,49
23-10-2018,14,71
23-10-2018,15,98
23-10-2018,16,33
23-10-2018,17,20
23-10-2018,18,104
23-10-2018,19,41
23-10-2018,20,42
23-10-2018,21,25
23-10-2018,22,20
23-10-2018,23,24
24-10-2018,6,80
24-10-2018,7,29
24-10-2018,8,52
24-10-2018,9,62
24-10-2018,10,77
24-10-2018,11,92
24-10-2018,13,56
24-10-2018,14,55
24-10-2018,15,31
24-10-2018,16,18
24-10-2018,17,88
24-10-2018,18,32
24-10-2018,19,20
24-10-2018,20,12
24-10-2018,21,79
24-10-2018,22,39
25-10-2018,0,45
25-10-2018,1,66
25-10-2018,6,70
25-10-2018,7,76
25-10-2018,8,51
25-10-2018,9,35
25-10-2018,10,10
25-10-2018,11,71
25-10-2018,12,73
25-10-2018,13,50
25-10-2018,14,89
25-10-2018,15,105
25-10-2018,16,111
25-10-2018,17,41
25-10-2018,18,43
25-10-2018,19,34
25-10-2018,20,10
25-10-2018,21,80
25-10-2018,22,83
25-10-2018,23,23
26-10-2018,4,19
26-10-2018,6,8
26-10-2018,7,24
26-10-2018,8,9
26-10-2018,9,26
26-10-2018,10,28
26-10-2018,11,56
26-10-2018,12,97
26-10-2018,13,107
26-10-2018,14,87
26-10-2018,15,82
26-10-2018,16,80
26-10-2018,17,80
26-10-2018,18,82
26-10-2018,19,48
26-10-2018,20,20
26-10-2018,21,85
26-10-2018,22,93
26-10-2018,23,49
27-10-2018,0,58
27-10-2018,1,34
27-10-2018,2,20
27-10-2018,3,41
27-10-2018,8,38
27-10-2018,9,28
27-10-2018,10,102
27-10-2018,11,111
27-10-2018,12,117
27-10-2018,13,111
27-10-2018,14,101
27-10-2018,15,142
27-10-2018,16,120
27-10-2018,17,135
27-10-2018,18,112
27-10-2018,19,80
27-10-2018,20,30
27-10-2018,21,52
27-10-2018,22,67
27-10-2018,23,51
28-10-2018,0,19
28-10-2018,1,28
28-10-2018,2,29
28-10-2018,3,58
28-10-2018,4,86
28-10-2018,7,70
28-10-2018,8,49
28-10-2018,9,88
28-10-2018,11,42
28-10-2018,12,25
28-10-2018,13,16
28-10-2018,14,81
28-10-2018,15,92
28-10-2018,16,28
28-10-2018,17,86
28-10-2018,18,28
28-10-2018,19,8
28-10-2018,22,41
28-10-2018,23,57
29-10-2018,6,46
29-10-2018,7,86
29-10-2018,8,96
29-10-2018,9,13
29-10-2018,10,47
29-10-2018,11,17
29-10-2018,12,62
29-10-2018,13,25
29-10-2018,14,109
29-10-2018,15,15
29-10-2018,16,47
29-10-2018,17,87
29-10-2018,18,55
29-10-2018,19,95
29-10-2018,20,95
29-10-2018,21,52
29-10-2018,22,17
29-10-2018,23,92
30-10-2018,6,6
30-10-2018,8,58
30-10-2018,9,99
30-10-2018,10,55
30-10-2018,11,70
30-10-2018,12,76
30-10-2018,13,33
30-10-2018,14,92
30-10-2018,15,38
30-10-2018,16,68
30-10-2018,17,107
30-10-2018,18,39
30-10-2018,19,21
30-10-2018,20,68
30-10-2018,21,45
30-10-2018,22,53
30-10-2018,23,62
31-10-2018,0,73
31-10-2018,6,11
31-10-2018,7,42
31-10-2018,8,75
31-10-2018,9,57
31-10-2018,10,82
31-10-2018,11,31
31-10-2018,12,73
31-10-2018,13,95
31-10-2018,14,39
31-10-2018,15,65
31-10-2018,16,90
31-10-2018,17,86
31-10-2018,18,93
31-10-2018,19,21
31-10-2018,20,35
31-10-2018,21,84
31-10-2018,22,92
31-10-2018,23,11
01-11-2018,0,63
01-11-2018,1,20
01-11-2018,2,40
01-11-2018,6,100
01-11-2018,7,25
01-11-2018,8,87
01-11-2018,9,72
01-11-2018,10,49
01-11-2018,11,76
01-11-2018,12,43
01-11-2018,13,48
01-11-2018,14,55
01-11-2018,15,96
01-11-2018,16,62
01-11-2018,17,125
01-11-2018,18,34
01-11-2018,19,80
01-11-2018,20,38
01-11-2018,21,59
01-11-2018,22,104
01-11-2018,23,46
02-11-2018,0,91
02-11-2018,1,32
02-11-2018,2,81
02-11-2018,6,42
02-11-2018,7,69
02-11-2018,8,106
02-11-2018,9,44
02-11-2018,10,164
02-11-2018,11,135
02-11-2018,12,127
02-11-2018,13,125
02-11-2018,14,183
02-11-2018,15,154
02-11-2018,16,176
02-11-2018,17,160
02-11-2018,18,134
02-11-2018,19,155
02-11-2018,20,52
02-11-2018,21,82
02-11-2018,22,54
02-11-2018,23,89
